iter	RMSE
0	10.79396179
1	10.44124221
2	10.09340984
3	9.758811399
4	9.445943139
5	9.114285821
6	8.815080878
7	8.55415872
8	8.278888497
9	8.041285389
10	7.79820746
11	7.547877474
12	7.358109769
13	7.159368599
14	6.964739309
15	6.789571006
16	6.615429535
17	6.450303468
18	6.289467733
19	6.150621553
20	6.010369394
21	5.869287918
22	5.736268642
23	5.604979236
24	5.499913979
25	5.394957595
26	5.299943784
27	5.194530052
28	5.105941434
29	5.020487308
30	4.941418481
31	4.871874211
32	4.797202264
33	4.726207663
34	4.662711324
35	4.598924517
36	4.542441993
37	4.488360051
38	4.431859615
39	4.389381847
40	4.342861922
41	4.300010351
42	4.260326026
43	4.226212415
44	4.189337589
45	4.153927924
46	4.126887015
47	4.097523305
48	4.065152393
49	4.031501125
50	4.002556919
51	3.976348602
52	3.952137957
53	3.926938227
54	3.904627067
55	3.879085793
56	3.859586118
57	3.840586181
58	3.824267892
59	3.808572834
60	3.79277053
61	3.77576571
62	3.759213398
63	3.747200902
64	3.735111404
65	3.72183134
66	3.708099379
67	3.691645193
68	3.681384171
69	3.667733049
70	3.654368624
71	3.642803005
72	3.631141921
73	3.619737458
74	3.607794419
75	3.601122467
76	3.590931876
77	3.583501183
78	3.575386314
79	3.568454028
80	3.560716133
81	3.553715474
82	3.545797972
83	3.539868573
84	3.533959336
85	3.52552569
86	3.517313837
87	3.510179944
88	3.50316201
89	3.495921158
90	3.491839292
91	3.48596786
92	3.482175218
93	3.476962029
94	3.469399686
95	3.463269255
96	3.457235638
97	3.452847559
98	3.445834529
99	3.441344752
100	3.436632646
101	3.432576262
102	3.427223758
103	3.421757799
104	3.417472367
105	3.413974365
106	3.409211656
107	3.405291051
108	3.401369674
109	3.396087654
110	3.393524586
111	3.387891955
112	3.38380688
113	3.380189691
114	3.375792305
115	3.371226122
116	3.367756186
117	3.36512676
118	3.360466465
119	3.356986478
120	3.352567725
121	3.350059447
122	3.345954728
123	3.342593535
124	3.339211254
125	3.334986331
126	3.332106164
127	3.328269224
128	3.325243835
129	3.320518717
130	3.316179149
131	3.313561939
132	3.309717211
133	3.306290725
134	3.301580636
135	3.298444308
136	3.294920757
137	3.289777109
138	3.28668969
139	3.284150695
140	3.2805137
141	3.276791198
142	3.273541472
143	3.268732991
144	3.26398858
145	3.260132401
146	3.257298192
147	3.25357046
148	3.249552268
149	3.24627507
150	3.242584548
151	3.237296021
152	3.234412278
153	3.230334302
154	3.227472985
155	3.223554964
156	3.219600351
157	3.216388611
158	3.212724544
159	3.209495471
160	3.20685236
161	3.204416074
162	3.201004913
163	3.197653344
164	3.19407286
165	3.191847848
166	3.18704834
167	3.182841296
168	3.179506748
169	3.176498114
170	3.172720333
171	3.16966103
172	3.166835729
173	3.165045597
174	3.162689097
175	3.159834101
176	3.157472088
177	3.154209363
178	3.152180549
179	3.150550976
180	3.146508598
181	3.142820382
182	3.137270844
183	3.134750018
184	3.131352578
185	3.12907915
186	3.126212798
187	3.121930645
188	3.118222784
189	3.11425961
190	3.110410193
191	3.107058448
192	3.103828624
193	3.099707188
194	3.097233859
195	3.092782837
196	3.08899716
197	3.087231479
198	3.083644875
199	3.081623693
200	3.078068746
201	3.07541752
202	3.072251085
203	3.069107866
204	3.066381366
205	3.062652354
206	3.059483822
207	3.056754824
208	3.054743187
209	3.051988522
210	3.0492968
211	3.047250859
212	3.043736392
213	3.040396
214	3.036592793
215	3.034004845
216	3.031504875
217	3.029445994
218	3.026627205
219	3.024226644
220	3.021247118
221	3.018313995
222	3.01555442
223	3.010173885
224	3.006686722
225	3.003427787
226	2.998534415
227	2.995549959
228	2.992241902
229	2.988511338
230	2.985241038
231	2.981605593
232	2.978548261
233	2.975837007
234	2.972742133
235	2.969538162
236	2.964981006
237	2.961757389
238	2.958851976
239	2.95655443
240	2.951767367
241	2.948230646
242	2.944641744
243	2.942751763
244	2.9401349
245	2.93675062
246	2.934379945
247	2.930710005
248	2.927997732
249	2.926512407
250	2.923925548
251	2.921227312
252	2.91699861
253	2.914211954
254	2.910788418
255	2.907878742
256	2.905371924
257	2.902889712
258	2.899420595
259	2.896613588
260	2.891810385
261	2.888589684
262	2.884845053
263	2.882329255
264	2.879397535
265	2.874601958
266	2.872611196
267	2.868915369
268	2.866599738
269	2.864399402
270	2.862555152
271	2.859659636
272	2.856991672
273	2.854719767
274	2.851761301
275	2.84900101
276	2.845570924
277	2.842039492
278	2.838884011
279	2.835609486
280	2.83265536
281	2.830612611
282	2.829451651
283	2.827138765
284	2.82396238
285	2.820366161
286	2.817513003
287	2.814267513
288	2.811552865
289	2.809836416
290	2.807320809
291	2.803478599
292	2.798920691
293	2.796650287
294	2.793812341
295	2.790064496
296	2.788221927
297	2.785301522
298	2.78178025
299	2.777356255
