iter	Passed	Remaining
0	154	46233
1	156	23253
2	157	15579
3	158	11741
4	160	9450
5	161	7913
6	162	6815
7	164	5991
8	165	5349
9	166	4836
10	168	4415
11	169	4064
12	170	3768
13	172	3514
14	173	3292
15	174	3101
16	176	2930
17	177	2777
18	178	2641
19	179	2518
20	181	2406
21	182	2305
22	183	2212
23	184	2127
24	186	2049
25	187	1976
26	189	1911
27	190	1849
28	191	1791
29	193	1737
30	194	1686
31	195	1637
32	196	1592
33	198	1550
34	199	1510
35	200	1472
36	202	1436
37	203	1402
38	204	1371
39	205	1336
40	206	1307
41	208	1281
42	209	1254
43	211	1229
44	212	1204
45	213	1181
46	215	1158
47	216	1136
48	217	1115
49	219	1097
50	220	1078
51	222	1059
52	223	1040
53	224	1023
54	225	1006
55	227	990
56	228	974
57	229	958
58	231	944
59	232	929
60	233	916
61	235	903
62	236	890
63	238	878
64	239	866
65	241	854
66	242	842
67	243	831
68	245	821
69	246	810
70	248	800
71	249	790
72	250	780
73	252	770
74	253	760
75	254	751
76	256	741
77	257	733
78	258	724
79	260	715
80	261	707
81	262	698
82	264	691
83	265	683
84	267	675
85	268	668
86	269	660
87	271	653
88	272	646
89	274	639
90	275	632
91	277	626
92	278	619
93	279	613
94	281	606
95	282	600
96	284	594
97	285	588
98	286	582
99	288	576
100	289	570
101	291	564
102	292	559
103	293	554
104	295	548
105	296	543
106	298	537
107	299	532
108	300	527
109	302	521
110	303	516
111	304	511
112	306	506
113	307	502
114	309	497
115	310	492
116	312	488
117	313	483
118	315	479
119	316	474
120	318	470
121	319	465
122	320	461
123	322	457
124	323	453
125	325	449
126	326	445
127	328	441
128	329	436
129	330	432
130	332	428
131	333	424
132	334	420
133	336	416
134	337	412
135	338	408
136	340	404
137	341	400
138	342	397
139	344	393
140	345	389
141	346	385
142	347	382
143	349	378
144	350	374
145	351	371
146	353	367
147	354	364
148	355	360
149	357	357
150	358	353
151	359	350
152	361	346
153	362	343
154	363	340
155	364	336
156	366	333
157	367	330
158	369	327
159	370	324
160	371	320
161	372	317
162	374	314
163	375	311
164	376	308
165	377	305
166	379	302
167	380	298
168	381	295
169	383	293
170	385	290
171	386	287
172	388	284
173	389	282
174	391	279
175	392	276
176	394	273
177	395	270
178	396	268
179	397	265
180	399	262
181	400	259
182	401	256
183	403	254
184	404	251
185	405	248
186	406	245
187	408	243
188	409	240
189	410	237
190	412	235
191	413	232
192	414	229
193	416	227
194	417	224
195	418	222
196	419	219
197	421	216
198	422	214
199	423	211
200	424	209
201	426	206
202	427	204
203	429	201
204	430	199
205	431	197
206	433	194
207	434	192
208	435	189
209	436	187
210	438	184
211	439	182
212	440	180
213	442	177
214	443	175
215	444	172
216	446	170
217	447	168
218	448	165
219	449	163
220	451	161
221	452	158
222	453	156
223	455	154
224	456	152
225	457	149
226	458	147
227	460	145
228	461	143
229	463	140
230	464	138
231	465	136
232	466	134
233	468	132
234	469	129
235	470	127
236	472	125
237	473	123
238	474	121
239	476	119
240	477	116
241	479	114
242	480	112
243	481	110
244	483	108
245	484	106
246	485	104
247	487	102
248	488	100
249	490	98
250	491	95
251	493	93
252	494	91
253	496	89
254	497	87
255	498	85
256	500	83
257	501	81
258	502	79
259	504	77
260	505	75
261	507	73
262	508	71
263	509	69
264	511	67
265	512	65
266	513	63
267	515	61
268	516	59
269	517	57
270	518	55
271	520	53
272	522	51
273	523	49
274	525	47
275	526	45
276	528	43
277	529	41
278	531	39
279	532	38
280	534	36
281	536	34
282	537	32
283	539	30
284	540	28
285	541	26
286	543	24
287	545	22
288	546	20
289	548	18
290	550	17
291	552	15
292	553	13
293	555	11
294	556	9
295	558	7
296	560	5
297	561	3
298	563	1
299	564	0
